station,remote_cnt,booth_cnt,line_name_all,division_all,long,lat
LEFFERTS BLVD,1,1,A,IND,,
LEXINGTON-53 ST,2,3,"E,M,6",IND,,
LEXINGTON AVE,3,3,"4,5,6,N,Q,R,F","BMT,IND",,
LGA AIRPORT CTB,1,1,7,IRT,,
LIB-HEMPSTEAD,1,1,F,LIB,,
LIBERTY AVE,1,1,C,IND,-73.8965480010393,40.6745419998709
LIVONIA AVE,1,1,L,BMT,-73.9005623722606,40.6640572709464
LONGWOOD AVE,1,2,6,IRT,-73.8964349989742,40.8161039999724
LORIMER ST,2,2,"G,L,J,M",BMT,-73.9502479999697,40.7140720006472
LORIMER ST,2,2,"G,L,J,M",BMT,-73.9473549988421,40.7038440000421
MAIN ST,1,2,7,IRT,,
MARBLE HILL-225,1,1,1,IRT,,
MARCY AVE,1,2,"J,M,Z",BMT,-73.9578320007573,40.7083830000179
METROCARD BUS 1,1,1,"2,3",BMT,,
METROCARD BUS 2,1,1,"2,3",BMT,,
METROCARD VAN-1,1,1,1,BMT,,
METROCARD VAN-2,1,1,1,BMT,,
METROCARD VAN-3,1,1,1,BMT,,
METROPOLITAN AV,2,2,"M,G,L","BMT,IND",,
METS-WILLETS PT,1,3,7,IRT,,
MIDDLETOWN ROAD,1,1,6,IRT,,
MONTROSE AVE,1,1,L,BMT,-73.9397928471351,40.7073910643846
MORGAN AVE,1,1,L,BMT,-73.9331470002421,40.7061516668073
MORRIS PARK,1,1,5,IRT,-73.8604950011725,40.8543639996643
MORRISON AVE,1,1,6,IRT,,
MOSHOLU PARKWAY,1,1,4,IRT,,
MT EDEN AVE,1,1,4,IRT,-73.9146849986034,40.8444340009268
MURRAY ST-B'WAY,1,1,R,BMT,,
MYRTLE-WILLOUGH,1,2,G,IND,,
MYRTLE AVE,2,3,"L,M,J,Z",BMT,-73.9356230012996,40.6971950005145
NASSAU AV,1,1,G,IND,,
NECK ROAD,1,1,"B,Q",BMT,,
NEPTUNE AVE,1,1,F,IND,-73.9745927281881,40.5807387584915
NEREID AVE,1,1,"2,5",IRT,,
NEVINS ST,1,2,"2,3,4,5",IRT,-73.9804067987458,40.6883105801902
NEW LOTS AVE,2,2,"3,L","IRT,BMT",-73.8841107080033,40.6663149325969
NEW LOTS AVE,2,2,"3,L","IRT,BMT",-73.8992779605714,40.6589147736853
NEW UTRECHT AVE,1,2,"N,D",BMT,-73.9963530002597,40.6248416672589
NEWARK BM BW,1,1,1,PTH,,
NEWARK C,1,1,1,PTH,,
NEWARK HM HE,1,1,1,PTH,,
NEWARK HW BMEBE,1,1,1,PTH,,
NEWKIRK AVE,2,3,"2,5,B,Q","IRT,BMT",-73.9626948683726,40.6351419373379
NEWKIRK AVE,2,3,"2,5,B,Q","IRT,BMT",-73.9482999082241,40.6399912427531
NORTHERN BLVD,1,2,"M,R",IND,-73.9060650805236,40.7528248292361
NORWOOD-205 ST,1,2,D,IND,,
NORWOOD AVE,1,1,"J,Z",BMT,-73.8796259991078,40.6815200004568
NOSTRAND AVE,2,3,"3,A,C","IRT,IND",-73.9504260009968,40.6804380000623
NOSTRAND AVE,2,3,"3,A,C","IRT,IND",-73.9504262489579,40.6699381509305
NYC & CO - 7 AV,1,1,1,IRT,,
OCEAN PARKWAY,1,2,Q,BMT,,
ORCHARD BEACH,1,1,6,IND,,
OXFORD-104 ST,1,1,A,IND,,
PACIFIC ST,1,1,"B,D,N,Q,R,2,3,4,5",BMT,,
PARK PLACE,2,2,"2,3,A,C,E,S","IRT,BMT",,
PARKSIDE AVE,1,1,"B,Q",BMT,-73.9614534398765,40.6550730416372
PARSONS BLVD,1,2,F,IND,-73.8032890002189,40.7075719996157
PATH WTC,1,1,1,PTH,,
PATH WTC 2,1,1,1,PTH,,
PAVONIA/NEWPORT,1,1,1,PTH,,
PELHAM BAY PARK,1,1,6,IRT,-73.8281210005929,40.8524619995166
PELHAM PARKWAY,2,3,"2,5",IRT,,
PENNSYLVANIA AV,1,1,3,IRT,,
PRESIDENT ST,1,1,"2,5",IRT,-73.9505892002221,40.6678836035368
PRINCE ST-B'WAY,1,2,"N,R",BMT,,
PROSPECT AVE,3,4,"R,2,5","BMT,IRT",-73.9017777873092,40.8194872648384
PROSPECT AVE,3,4,"R,2,5","BMT,IRT",-73.9928720006742,40.6654136671298
PROSPECT PARK,1,2,"B,Q,S",BMT,-73.9620313042661,40.6616334551018
QUEENS PLAZA,1,2,"E,M,R",IND,,
QUEENSBORO PLZ,1,1,"7,N,Q",IRT,-73.9401635351909,40.7506356510148
RALPH AVE,1,1,C,IND,-73.9207859993331,40.6788220008734
RECTOR ST,2,4,"R,1","BMT,IRT",-74.012974562538,40.7077447562945
RECTOR ST,2,4,"R,1","BMT,IRT",-74.0137830011974,40.7075129995218
RIT-MANHATTAN,1,1,R,RIT,,
RIT-ROOSEVELT,1,1,R,RIT,,
ROCKAWAY AVE,2,3,"3,C","IRT,IND",-73.9119459972662,40.6783399998835
ROCKAWAY AVE,2,3,"3,C","IRT,IND",-73.9089583358445,40.6626174881522
ROCKAWAY BLVD,1,2,A,IND,-73.8438529979573,40.6804289995884
ROCKAWAY PK 116,1,1,"A,S",IND,,
ROCKAWAY PKY,1,1,L,BMT,,
ROOSEVELT AVE,1,2,"E,F,M,R,7",IND,,
ROOSEVELT IS,1,1,F,IND,,
SARATOGA AVE,1,1,3,IRT,-73.9163302500795,40.6615297898075
SENECA AVE,1,1,M,BMT,-73.9075819988542,40.702918998949
SHEEPSHEAD BAY,1,2,"B,Q",BMT,-73.9540579125791,40.5865475470754
SHEPHERD AVE,1,1,C,IND,-73.8807499974727,40.6741300014559
SIMPSON ST,1,2,"2,5",IRT,-73.893066395079,40.8239768412374
SMITH-9 ST,1,1,"F,G",IND,,
SOUTH FERRY,1,1,"R,1",IRT,-74.0131689591926,40.7017305075745
SPRING ST,2,4,"C,E,6","IND,IRT",-74.0037389984376,40.7262270012931
SPRING ST,2,4,"C,E,6","IND,IRT",-73.9971410000667,40.7223009999937
ST LAWRENCE AVE,1,1,6,IRT,-73.8676179992367,40.8315090005233
ST. GEORGE,1,2,1,SRT,,
STEINWAY ST,1,2,"M,R",IND,-73.9205264716827,40.7569873591258
STERLING ST,1,1,"2,5",IRT,-73.9507289112494,40.6627729934283
STILLWELL AVE,1,2,"D,F,N,Q",BMT,,
SUTPHIN BLVD,2,3,"E,J,Z,F",IND,-73.8108329989723,40.7054179990676
SUTTER AVE,2,2,"3,L","IRT,BMT",-73.9019160004208,40.669145000614
THIRTY ST,1,1,1,PTH,,
THIRTY THIRD ST,1,1,1,PTH,,
TOMPKINSVILLE,1,1,1,SRT,,
TREMONT AVE,1,2,"B,D",IND,-73.9052270012235,40.8504099995102
TWENTY THIRD ST,1,1,1,PTH,,
UNION ST,1,2,R,BMT,-73.9831099990967,40.677315667351
UNION TPK-KEW G,1,2,"E,F",IND,,
UTICA AVE,1,2,"A,C",IND,-73.9307289991403,40.6793639995055
VAN ALSTON-21ST,1,1,G,IND,,
VAN SICLEN AVE,3,3,"3,J,Z,C","IRT,BMT,IND",-73.8916577270245,40.6780282144778
VAN SICLEN AVE,3,3,"3,J,Z,C","IRT,BMT,IND",-73.8894049173011,40.6655179630596
VAN SICLEN AVE,3,3,"3,J,Z,C","IRT,BMT,IND",-73.8903580002471,40.672709999061
VAN WYCK BLVD,1,1,"E,F",IND,,
VERNON/JACKSON,1,3,7,IRT,,
W 4 ST-WASH SQ,1,2,"A,B,C,D,E,F,M",IND,,
W 8 ST-AQUARIUM,1,2,"F,Q",BMT,,
WAKEFIELD-241,1,1,2,IRT,,
WALL ST,2,8,"2,3,4,5",IRT,-74.0118619986011,40.707557000866
WALL ST,2,8,"2,3,4,5",IRT,-74.0090999984426,40.7068209997534
WASHINGTON-36 A,1,1,"N,Q",BMT,,
WEST COUNTY CTR,1,1,5,BEE,,
WESTCHESTER SQ,1,1,6,IRT,,
WHITEHALL ST,1,2,"R,1",BMT,-74.0130072374272,40.7031423735991
WHITLOCK AVE,1,1,6,IRT,-73.8862829985325,40.826525000559
WILSON AVE,1,1,L,BMT,-73.9039586049186,40.6888665424602
WINTHROP ST,1,1,"2,5",IRT,-73.9500793459099,40.6566593137608
WOODHAVEN BLVD,2,4,"J,Z,M,R","BMT,IND",-73.852051997408,40.6937039988011
WOODLAWN ROAD,1,1,4,IRT,,
WORLD TRADE CTR,1,1,"2,3,A,C,E",IND,,
YORK ST,1,1,F,IND,-73.9868849999367,40.6997426676916
ZEREGA AVE,1,1,6,IRT,-73.8470359987544,40.8364880006082
